title,director,cast,country,release_year,rating,listed_in,description,runtime
OK Jaanu,Shaad Ali,"Aditya Roy Kapur, Shraddha Kapoor, Naseeruddin Shah, Leela Samson",India,2017,13+,"International, Romance","Adi and Tara move to Bombay to pursue their dreams. A chance meeting sparks off a heady, no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?",135
Noorie,Manmohan Krishna,"Poonam Dhillon, Farooq Shaikh, Madan Puri, Iftekhar",India,1979,16+,"International, Romance","Noorie (Poonam Dhillon) is a young and beautiful girl from the valleys, who along with Yusuf (Farooq Shaikh) has a simple dream of a house, family and a lovely life. But nothing is that simple in life as Noorie and Yusuf’s dreams are torn apart at the hands of a couple of village goons for whom Noorie is just a conquest. NOORIE tells a simple and touching story of Noorie and Yusuf’s fearless love.",120
Mujhse Fraaandship Karoge,Nupur Asthana,"Saqib Saleem, Saba Azad, Nishant Dahiya, Tara D'Souza, Prabal Panjabi, Chitrak Bandyopadhyay, Manasi Rachh, Suparna Marwah, Zuha Sharma, Kavi Shastri, Keshav Sunder, Mita Vasisht",India,2011,13+,"International, Romance","If Rahul has the voice and looks, Vishal, has the brains. If Malvika, can get heads turning, Preity, can say a million things. What Vishal and Preity can't do, is spell it out to Malvika and Rahul that they heart them. So on Facebook, Vishal becomes Rahul, Preity becomes Malvika and they start chatting. They do a great job of pretending to be someone else. But how long can you fake it?",105
Meri Pyaari Bindu,Akshay Roy,"Ayushmann Khurrana, Parineeti Chopra, Malvika Sitlani, Chandrachoor Rai, Aparajita Adhya, Abish Mathew",India,2017,13+,"Comedy, Drama, International","A successful writer, Abhimanyu Roy (Ayushmann Khurrana) returns to his roots to write an old-fashioned love story, 3 years in the making. This writer's block is called Bindu (Parineeti Chopra). How do you contain this live wire in the pages of a book? When Abhi stumbles across an old audio cassette of their favourite playlist, it sends him down memory lane and his novel starts writing itself.",117
Mere Brother Ki Dulhan,Ali Abbas Zafar,"Imran Khan, Katrina Kaif, Ali Zafar, Tara D'Souza, Parikshat Sahni, Suparna Marwah",India,2011,13+,"Comedy, International, Romance","""Kush (Imran Khan) is looking for the ideal Indian bride for his brother Luv (Ali Zafar). In his quest, Kush goes through an array of wacky encounters until he finds that perfect girl in Dimple (Katrina Kaif), the craziest girl he’s ever known. But Kush falls in love with Dimple - his brother's dulhan. What follows is an unpredictable series of events in this unusual topsy-turvy tale of love. """,139
Mashaal,Yash Chopra,"Anil Kapoor, Waheeda Rehman, Dilip Kumar, Rati Agnihotri, Saeed Jaffrey, Amrish Puri",India,1984,ALL,"Drama, International","MASHAAL is a story about Vinod (Dilip Kumar) an honest, fearless editor of an outspoken newspaper, Raja (Anil Kapoor) a man from the slums who takes to black marketing to make his living and Vardhan (Amrish Puri) who is a powerful and respected figure of the city whose cloak of respectability hid all the social evils. In an attempt to combat Vardhan, life ends up differently for Vinod and Raja.",169
Mardaani,Pradeep Sarkar,"Rani Mukerji, Sanjay Taneja, Priyanka Sharma, Gautam Babbar, Ashish Warang, Tahir Raj Bhasin",India,2014,18+,"Drama, International, Suspense","India is the world's hub for child sex trafficking. Shivani Shivaji Roy, Senior Inspector, Crime Branch, Mumbai Police, sets out to confront the mastermind behind a child trafficking mafia, who makes the mistake of kidnapping and smuggling a teenage girl, Pyari. What follows is a cat and mouse game between a fearless cop and a young and ruthless mafia kingpin in a war which is very personal.",113
Maanagaram,Lokesh Kanagaraj,"Sundeep Kishan, Munishkanth, Sri, Regina Cassandra",India,2017,13+,"Action, International","A City based thriller that travels on the Hyperlink plot connecting the four youngsters from the different walks of lives. Maanagaram will focalize upon Chennai city as one of the major characters in this film, where the backdrops would indeed become a prominent ingredient of this tale.",136
Lamhe,Yash Chopra,"Anil Kapoor, Sridevi, Anupam Kher, Waheeda Rehman",India,1991,ALL,"Drama, International, Romance","Viren (Anil Kapoor) comes to India, he is captivated by Pallavi (Sridevi). When he learns she's spoken for, he returns. When he gets the news of Pallavi and her husband dying and leaving their daughter Pooja (Sridevi) behind, Viren ensures she is taken care of. 20 years on, Viren comes back to India and sees Pooja - a spitting image of her mother! What follows is a life-changing turn of events.",188
Kal Ho Naa Ho,Nikkhil Advani,"Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bhaduri, Sushma Seth, Reema Lagoo, Lilette Dubey, Delnaz Paul, Sonali Bendre, Rani Mukerji, Sanjay Kapoor, Sulabha Arya, Athit Naik, Jhanak Shukla",India,2003,ALL,"Comedy, Drama, International","Naina Kapur is a beautiful introvert and often keeps to herself. Her life soon changes, when she befriends her neighbour, Aman Mathur, who is jaunty and bubbly. Naina falls in love with Aman and decides to confess her love to him. She is heart-broken, when she finds out that Aman is married. But the truth unravels, and Aman has lied about being married. His lie hides a dark secret.",187
Kabul Express,Kabir Khan,"John Abraham, Arshad Warsi, Salman Shahid, Hanif Hum Ghum, Linda Arsenio",India,2006,13+,"Action, International","Suhel (John Abraham) & Jai (Arshad Warsi) are journalists in search of the Taliban. Imran Khan Afridi (Salman Shahid) - a soldier, needs to escape Afghanistan. Khyber (Hanif Hum Ghum) - an Afghan is as old as the war. Jessica Beckham (Linda Arsenio) - a photojournalist risks her life to photograph the Taliban. Five people from different worlds, their paths are destined to cross in Afghanistan.",105
Kabali,Pa. Ranjith,"Rajinikanth, Winston Chao, Radhika Apte, Dhansika, Dinesh Ravi, Kishore, Kalaiyarasan, John Vijay, Riythvika, Rosyam, Lingesh Vj, Mime Gopi, Nassar, R. Amarendran, Uday Mahesh, Nandakumar, Gajaraj, Charles Vinoth, Sampath Ram, Sangili Murugan",India,2016,ALL,"Action, Drama, International","Kabali, a revolutionary who fights for the betterment of his people in a foreign land, is falsely implicated and thrown behind bars. When he returns after his prison term, he starts a search for his wife and ends up confronting those who were the reason behind his miseries. What follows is a tale of revenge, emotion and payback.",143
Kaashmora,Gokul,"Karthi, Nayanthara, Sri Divya, Vivek, Jangiri Madhumitha",India,2016,13+,"Horror, International, Science Fiction","A fake shaman and his family find themselves trapped in a dilapidated palace, which is under the control of an evil ghost.",162
Joker,Raju Murugan,"Guru Somasundaram, Ramya Pandiyan, Gayathri, Ramasamy, Bava Chelladurai, Bala Murugan",India,2016,ALL,"Comedy, Drama, International","Mannar (protagonist), a villager, who declares himself as Indian President, protests government for absurdities. On a trial, he reveals his past. When everyone sees him as Joker, audience are questioned at the end.",129
Jab Tak Hai Jaan,Yash Chopra,"Katrina Kaif, Rishi Kapoor, Shahrukh Khan, Anushka Sharma",India,2012,13+,"Drama, International, Romance","Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?",176
Halal Love Story,Zakariya,"Indrajith Sukumaran, Joju George, Sharafudheen, Grace Antony, Soubin Shahir, Parvathy Thiruvothu",India,2020,13+,"Comedy, Drama",Two cinema enthusiasts from a religious organization decide to make a movie in accordance to the religious understanding of permissible and forbidden. They find an experienced crew from the mainstream but they have reservations on the cast of the lead couple. The couple has to be married to each other so that behaving closer to each can be religiously permissible.,116
George Reddy,B. Jeevan Reddy,"Sandeep Madhav, Muskaan Khubchandani, Devika Daftardar, Sanjay Reddy, Manoj Nandam, Satya Dev, Shreenivas Pokale",India,2019,13+,"Drama, International","George Reddy is a Biopic of a student leader, Boxer and Gold medallist who influenced Andhra Pradesh politics in Osmania University between 1962 and 1972. He inspired revolutionary thoughts until he was brutally murdered in his hostel in 1972.",150
Fanaa,Kunal Kohli,"Aamir Khan, Kajol, Rishi Kapoor, Lara Dutta, Shiney Ahuja, Satish Shah, Tabu, Kirron Kher, Sharat Saxena, Ahmad Khan, Lilette Dubey, Shruti Seth",India,2006,13+,Romance,"Zooni (Kajol), a blind Kashmiri girl, meets Rehan Qadri (Aamir Khan), a local Delhi tour guide and an incorrigible flirt. Her friends warn her against him but she chooses to ignore them. Rehan is fascinated by Zooni and wants her to see life as it should be seen. What Zooni doesn’t know is that Rehan has another side to him- something that can not only change her life, but can also destroy it.",168
Fan,Maneesh Sharma,"Shah Rukh Khan, Sayani Gupta, Shriya Pilgaonkar, Waluscha de Sousa, Deepika Amin, Yogendra Tiku",India,2016,13+,"Drama, International, Suspense","FAN is the story of Gaurav (Shah Rukh Khan) a young man, 20 something, whose world revolves around the mega movie star Aryan Khanna (Shah Rukh Khan) or God as he refers to him. When things don't go according to plan, Gaurav’s love and passion for his God turns into a dangerous obsession that crosses the fine line.",138
Dilwale Dulhania Le Jayenge,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher, Satish Shah, Achala Sachdev, Himani Shivpuri",India,1995,7+,Romance,"When Raj (Shahrukh Khan) & Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn’t exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri).",190
Dil Bole Hadippa,Anurag Singh,"Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil, Rakhi Sawant, Sherlyn Chopra, Shri Vallabh Vyas, Vrajesh Hirjee, Poonam Dhillon, Shonali Nagrani, Karan Veer, Bobby Bedii, Vickeey Ahhuja, Sherry Rekhi, Akhilesh Sharma, Vimarsh Roshan, Kunal Satyen, Feroz Khan, Rashid Mallick, Jaffar Baig, Prasad Patil, Imran Khan, Saud Ansari, Mukesh Singh, Nasir Khan, Vikas Choudhry, Niranjan Sawant, Vineet Kapoor, Amar Singh",India,2009,13+,"Comedy, Drama, International","Veera (Rani Mukerji) is a fire-cracker of a village girl but dreams of playing cricket in the big league. Rohan (Shahid Kapoor) is a captain of a cricket team in England but returns to India to captain his father's cricket team which has been losing. Veera puts on a turban and beard and earns her place in Rohan's team. This tale of turbans, twists and tricks will make your heart go Hadippa!",146
Darr,Yash Chopra,"Shah Rukh Khan, Juhi Chawla, Sunny Deol",India,1993,13+,"Drama, International, Suspense","DARR is Rahul’s (Shahrukh Khan) story whose love and obsession for Kiran (Juhi Chawla) frees him from all fears of life & death. It is Sunil’s (Sunny Deol) story, whose enduring love & passion for Kiran gives him the courage to face the fear of death. It is Kiran’s story caught between one man’s love & another man’s obsession. She fears one & fears for the other.",177
Daag,Yash Chopra,"Rajesh Khanna, Sharmila Tagore, Rakhee Gulzar, Prem Chopra, Madan Puri, Iftekhar, Manmohan Krishna, Kader Khan, Achala Sachdev, A.K. Hangal",India,1973,7+,"Drama, International","Sunil (Rajesh Khanna) is forced to leave behind his new bride Sonia (Sharmila Tagore), when he kills her would-be rapist. A new identity beckons when Sunil meets Chandni (Rakhee) and ends up marrying her to give her illegitimate child a father’s name. Now a respected Mayor of his town, Sunil’s past catches up with him and brings together Sunil and Sonia. Can he outrun his destiny for long?",146
Chandni,Yash Chopra,"Vinod Khanna, Rishi Kapoor, Sridevi, Waheeda Rehman, Sushma Seth, Beena Banerjee",India,1989,ALL,"Drama, International, Romance","In a cruel stroke of fate, Chandni’s (Sridevi) heart is shattered as Rohit (Rishi Kapoor) disappears from her life. When she meets Lalit (Vinod Khanna) who is fighting the demons of tragic memories, they both find solace in this new friendship. Lalit’s affection gives a new direction to Chandni’s life, but Lalit falls for her and Chandni resigns to destiny, till one day, Rohit knocks on her door.",180
Begum Jaan,Srijit Mukherji,"Vidya Balan, Ila Arun, Naseeruddin Shah, Rajit Kapoor, Ashish Vidyarthi, Vivek Mushran, Chunky Pandey, Gauhar Khan, Pallavi Sharda",India,2017,18+,"Action, Drama, International","Begum Jaan is a story of 11 fearless women standing up against the system, amidst the changing political scenario during the partition.",128
Befikre,Aditya Chopra,"Ranveer Singh, Vaani Kapoor, Armaan Ralhan, Julie Ordon, Ayesha Raza, Akarsh Khurana, Aru Verma",India,2016,16+,"Comedy, Drama, International","Befikre is a carefree love story of Dharam and Shyra, who find love in an engaging series of experiences. Doused in the spirit of Paris, it celebrates a sensual and free-spirited love.",130
Band Baaja Baaraat,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Manish Chaudhary",India,2010,ALL,Romance,"Shruti (Anushka Sharma), girl in her 20's, focused, determined as well ambitious. Bittoo (Ranveer Singh), on the other hand, has no real aim in life. They become partners in their very own “Wedding planning ka bijness”. Together, their friendship and business, enters the ups and downs of the lavish Delhi weddings and while trying to find themselves, Shruti and Bittoo discover each other.",139
